resnet50,convnextL,cornet-s,vit_l_16,resnet50-sin,resnet50-blur-st,cornet-s-blur-st,clip_convnextL_image,clip_vit-l-laion_image,convnext_large_mlp:clip_laion2b_augreg_ft_in1k_384,vit_large_patch14_clip_224.laion2b_ft_in12k_in1k
crossword puzzle (72.5),crossword puzzle (95.3),jigsaw puzzle (38.6),window screen (83.0),envelope (42.1),stole (24.6),hair slide (33.9),chain mail (39.2),chain mail (19.9),nematode (24.0),nematode (28.1)
strainer (11.7), ,screw (19.9), ,strainer (16.4),chain mail (11.7),jigsaw puzzle (18.7),plane (12.3),maze (18.1),window screen (10.5),crossword puzzle (19.3)
 , ,envelope (11.7), ,theater curtain (11.1), ,dishrag (15.8), ,knot (14.0), , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
 , , , , , , , , , , 
