n02211896,potter_bee
n02210921,Nomia_melanderi
n02210921,alkali_bee
n02209354,carpenter_bee
n02208979,Carniolan_bee
n02207179,drone
n02209624,bumblebee
n02209624,humblebee
n02210427,andrena
n02210427,andrenid
n02210427,mining_bee
n02208848,black_bee
n02208848,German_bee
n02211444,leaf-cutting_bee
n02211444,leaf-cutter
n02211444,leaf-cutter_bee
n02211627,mason_bee
n02206856,bee
n02208280,honeybee
n02208280,Apis_mellifera
n02209111,Italian_bee
n02208498,Africanized_bee
n02208498,Africanized_honey_bee
n02208498,killer_bee
n02208498,Apis_mellifera_scutellata
n02208498,Apis_mellifera_adansonii
n02209964,cuckoo-bumblebee
