n01616318,vulture
n01531178,goldfinch
n02018795,bustard
n01843383,toucan
n01518878,ostrich
n02011460,bittern
n01560419,bulbul
n02018207,american_coot
n01818515,macaw
n02013706,limpkin
n01847000,drake
n01592084,chickadee
n02007558,flamingo
n02017213,european_gallinule
n01828970,bee_eater
n01580077,jay
n01806143,peacock
n02056570,king_penguin
n01795545,black_grouse
n02051845,pelican
n01860187,black_swan
n01829413,hornbill
n01534433,junco
n01797886,ruffed_grouse
n01843065,jacamar
n01824575,coucal
n01614925,bald_eagle
n01855672,goose
n02033041,dowitcher
n02037110,oystercatcher
n02027492,red-backed_sandpiper
n01532829,house_finch
n01514859,hen
n02009912,american_egret
n02012849,crane
n01601694,water_ouzel
n01798484,prairie_chicken
n02002556,white_stork
n01796340,ptarmigan
n02025239,ruddy_turnstone
n01855032,red-breasted_merganser
n01833805,hummingbird
n01819313,sulphur-crested_cockatoo
n01558993,robin
n01514668,cock
n01537544,indigo_bunting
n01807496,partridge
n01608432,kite
n01582220,magpie
n02009229,little_blue_heron
n02028035,redshank
n01820546,lorikeet
n01806567,quail
n01622779,great_grey_owl
n02006656,spoonbill
n01817953,african_grey
n02002724,black_stork
n02058221,albatross
n01530575,brambling
