n02579557,pompano
n02628062,skipjack
n02628062,Atlantic_bonito
n02628062,Sarda_sarda
n01428580,soft-finned_fish
n01428580,malacopterygian
n02608284,pigfish
n02608284,giant_pigfish
n02608284,Achoerodus_gouldii
n02656032,balloonfish
n02656032,Diodon_holocanthus
n02558560,sandfish
n02614653,bluethroat_pikeblenny
n02614653,Chaenopsis_ocellata
n01445857,hog_sucker
n01445857,hog_molly
n01445857,Hypentelium_nigricans
n02553028,lingcod
n02553028,Ophiodon_elongatus
n02554730,percoid_fish
n02554730,percoid
n02554730,percoidean
n02547014,oarfish
n02547014,king_of_the_herring
n02547014,ribbonfish
n02547014,Regalecus_glesne
n02567772,black_sea_bass
n02567772,black_bass
n02567772,Centropistes_striata
n02619550,mudskipper
n02619550,mudspringer
n02647294,snailfish
n02647294,seasnail
n02647294,sea_snail
n02647294,Liparis_liparis
n02544475,handsaw_fish
n02599557,spotted_weakfish
n02599557,spotted_sea_trout
n02599557,spotted_squeateague
n02599557,Cynoscion_nebulosus
n02599958,mullet
n02579762,Florida_pompano
n02579762,Trachinotus_carolinus
n02644113,rockfish
n02608996,puddingwife
n02608996,pudding-wife
n02608996,Halicoeres_radiatus
n02562971,black_crappie
n02562971,Pomoxis_nigromaculatus
n02610066,tautog
n02610066,blackfish
n02610066,Tautoga_onitis
n02550203,timucu
n02630615,Atlantic_sailfish
n02630615,Istiophorus_albicans
n02613572,shanny
n02613572,Blennius_pholis
n02568807,belted_sandfish
n02568807,Serranus_subligarius
n02582349,Coryphaena_equisetis
n02519472,brown_bullhead
n02533834,anchovy
n02622712,oilfish
n02622712,Ruvettus_pretiosus
n02626471,sierra
n02626471,Scomberomorus_sierra
n02548689,toadfish
n02548689,Opsanus_tau
n01450661,squirrelfish
n02647660,poacher
n02647660,sea_poacher
n02647660,sea_poker
n02530999,allice_shad
n02530999,allis_shad
n02530999,allice
n02530999,allis
n02530999,Alosa_alosa
n01491361,tiger_shark
n01491361,Galeocerdo_cuvieri
n01493829,Atlantic_spiny_dogfish
n01493829,Squalus_acanthias
n02662239,whiff
n02513805,mouthbreeder
n02522866,Pacific_cod
n02522866,Alaska_cod
n02522866,Gadus_macrocephalus
n01497413,smalltooth_sawfish
n01497413,Pristis_pectinatus
n02595702,red_drum
n02595702,channel_bass
n02595702,redfish
n02595702,Sciaenops_ocellatus
n02654745,cowfish
n02654745,Lactophrys_quadricornis
n01484285,shortfin_mako
n01484285,Isurus_oxyrhincus
n01438208,cypriniform_fish
n02539894,round_whitefish
n02539894,Menominee_whitefish
n02539894,Prosopium_cylindraceum
n02539573,cisco
n02539573,lake_herring
n02539573,Coregonus_artedi
n02560110,snook
n02519340,horned_pout
n02519340,hornpout
n02519340,pout
n02519340,Ameiurus_Melas
n02557749,walleye
n02557749,walleyed_pike
n02557749,jack_salmon
n02557749,dory
n02557749,Stizostedion_vitreum
n02520525,armored_catfish
n02578928,yellowtail
n02578928,Seriola_dorsalis
n02529293,beaked_salmon
n02529293,sandfish
n02529293,Gonorhynchus_gonorhynchus
n02664642,English_sole
n02664642,lemon_sole
n02664642,Parophrys_vitulus
n02594250,sciaenid_fish
n02594250,sciaenid
n01494475,hammerhead
n01494475,hammerhead_shark
n01442972,minnow
n01442972,Phoxinus_phoxinus
n01495701,ray
n02543255,lanternfish
n02542017,ladyfish
n02542017,tenpounder
n02542017,Elops_saurus
n01483830,porbeagle
n01483830,Lamna_nasus
n02593019,snapper
n02593019,Chrysophrys_auratus
