n02100735,English_setter
n02089078,black-and-tan_coonhound
n02090379,redbone
n02108915,French_bulldog
n02105641,Old_English_sheepdog
n02105641,bobtail
n02104029,kuvasz
n02113712,miniature_poodle
n02098413,Lhasa
n02098413,Lhasa_apso
n02101556,clumber
n02101556,clumber_spaniel
n02104365,schipperke
n02106854,police_dog
n02101388,Brittany_spaniel
n02093754,Border_terrier
n02094433,Yorkshire_terrier
n02109256,Seeing_Eye_dog
n02110806,basenji
n02106030,collie
n02088992,coondog
n02089725,American_foxhound
n02091244,Ibizan_hound
n02091244,Ibizan_Podenco
n02091831,Saluki
n02091831,gazelle_hound
n02095050,fox_terrier
n02088364,beagle
n02112826,corgi
n02112826,Welsh_corgi
n02107908,Appenzeller
n02094562,rat_terrier
n02094562,ratter
n02105162,malinois
n02096051,Airedale
n02096051,Airedale_terrier
n02100877,Irish_setter
n02100877,red_setter
n02085936,Maltese_dog
n02085936,Maltese_terrier
n02085936,Maltese
n02096437,Dandie_Dinmont
n02096437,Dandie_Dinmont_terrier
n02085019,feist
n02085019,fice
n02105505,komondor
n02090827,greyhound
n02091635,otterhound
n02091635,otter_hound
n02104882,Belgian_sheepdog
n02104882,Belgian_shepherd
n02097298,Scotch_terrier
n02097298,Scottish_terrier
n02097298,Scottie
n02112497,griffon
n02112497,Brussels_griffon
n02112497,Belgian_griffon
n02098105,soft-coated_wheaten_terrier
n02088238,basset
n02088238,basset_hound
n02110532,liver-spotted_dalmatian
n02110063,malamute
n02110063,malemute
n02110063,Alaskan_malamute
n02099029,retriever
n02110185,Siberian_husky
n02109391,hearing_dog
n02095412,wirehair
n02095412,wirehaired_terrier
n02095412,wire-haired_terrier
n02113023,Pembroke
n02113023,Pembroke_Welsh_corgi
n02111889,Samoyed
n02111889,Samoyede
n02096756,schnauzer
n02100399,setter
n02093428,American_Staffordshire_terrier
n02093428,Staffordshire_terrier
n02093428,American_pit_bull_terrier
n02093428,pit_bull_terrier
n02108672,bulldog
n02108672,English_bulldog
n02108551,Tibetan_mastiff
n02090721,Irish_wolfhound
n02113624,toy_poodle
n02092339,Weimaraner
n02090475,wolfhound
n02098286,West_Highland_white_terrier
n02106966,pinscher
n02113978,Mexican_hairless
n02107683,Bernese_mountain_dog
n02096177,cairn
n02096177,cairn_terrier
n02110341,dalmatian
n02110341,coach_dog
n02110341,carriage_dog
n02105056,groenendael
n02099849,Chesapeake_Bay_retriever
n02085272,lapdog
n02105855,Shetland_sheepdog
n02105855,Shetland_sheep_dog
n02105855,Shetland
n02095314,wire-haired_fox_terrier
n02113892,large_poodle
n02097967,Clydesdale_terrier
n02091134,whippet
n02099712,Labrador_retriever
n02103406,working_dog
n02085374,toy_dog
n02085374,toy
n02107574,Greater_Swiss_Mountain_dog
n02103841,watchdog
n02103841,guard_dog
n02095212,smooth-haired_fox_terrier
n02091032,Italian_greyhound
n02107142,Doberman
n02107142,Doberman_pinscher
n02108000,EntleBucher
n02102177,Welsh_springer_spaniel
n02109811,sled_dog
n02109811,sledge_dog
n02097047,miniature_schnauzer
n02086240,Shih-Tzu
n02097658,silky_terrier
n02097658,Sydney_silky
n02085620,Chihuahua
n02099601,golden_retriever
n02106550,Rottweiler
n02101861,springer_spaniel
n02101861,springer
n02097474,Tibetan_terrier
n02097474,chrysanthemum_dog
n02093056,bullterrier
n02093056,bull_terrier
n02088466,bloodhound
n02088466,sleuthhound
n02102605,water_spaniel
n02108422,bull_mastiff
n02088632,bluetick
n02093859,Kerry_blue_terrier
n02099267,flat-coated_retriever
n02087394,Rhodesian_ridgeback
n02095727,Welsh_terrier
n02111129,Leonberg
n02111277,Newfoundland
n02111277,Newfoundland_dog
n02112137,chow
n02112137,chow_chow
n02113335,poodle
n02113335,poodle_dog
n02086646,Blenheim_spaniel
n02089468,sausage_dog
n02089468,sausage_hound
n02085118,pariah_dog
n02085118,pye-dog
n02085118,pie-dog
n02102040,English_springer
n02102040,English_springer_spaniel
n02112018,Pomeranian
n02104523,shepherd_dog
n02104523,sheepdog
n02104523,sheep_dog
n02103181,griffon
n02103181,wire-haired_pointing_griffon
n02087314,courser
n02087046,toy_terrier
n02107420,Sennenhunde
n02109961,Eskimo_dog
n02109961,husky
n02110627,affenpinscher
n02110627,monkey_pinscher
n02110627,monkey_dog
n02095889,Sealyham_terrier
n02095889,Sealyham
n02096294,Australian_terrier
n02095570,Lakeland_terrier
n02094258,Norwich_terrier
n02110958,pug
n02110958,pug-dog
n02106662,German_shepherd
n02106662,German_shepherd_dog
n02106662,German_police_dog
n02106662,alsatian
n02101670,field_spaniel
n02096585,Boston_bull
n02096585,Boston_terrier
n02104184,attack_dog
n01322604,puppy
n02088094,Afghan_hound
n02088094,Afghan
n02097130,giant_schnauzer
n02087551,hound
n02087551,hound_dog
n02105251,briard
n02086910,papillon
n02085782,Japanese_spaniel
n02109150,guide_dog
n02093256,Staffordshire_bullterrier
n02093256,Staffordshire_bull_terrier
n02112706,Brabancon_griffon
n02100236,German_short-haired_pointer
n02098906,water_dog
n02086079,Pekinese
n02086079,Pekingese
n02086079,Peke
n02097786,Skye_terrier
n02101006,Gordon_setter
n02104280,housedog
n02090253,Plott_hound
n02094721,Manchester_terrier
n02094721,black-and-tan_terrier
n02093647,Bedlington_terrier
n02091467,Norwegian_elkhound
n02091467,elkhound
n02111626,spitz
n02086478,English_toy_spaniel
n02092468,terrier
n02109525,Saint_Bernard
n02109525,St_Bernard
n02089232,dachshund
n02089232,dachsie
n02089232,badger_dog
n02111500,Great_Pyrenees
n02099429,curly-coated_retriever
n02089973,English_foxhound
n02107312,miniature_pinscher
n02087122,hunting_dog
n02108089,boxer
n02089555,foxhound
n02094931,toy_Manchester
n02094931,toy_Manchester_terrier
n02088839,coonhound
n02113799,standard_poodle
n02090622,borzoi
n02090622,Russian_wolfhound
n02102973,Irish_water_spaniel
n02106166,Border_collie
n02108254,mastiff
n02105412,kelpie
n02109687,seizure-alert_dog
n02089867,Walker_hound
n02089867,Walker_foxhound
n02097209,standard_schnauzer
n02086753,King_Charles_spaniel
n02098550,sporting_dog
n02098550,gun_dog
n02100583,vizsla
n02100583,Hungarian_pointer
n02092173,staghound
n02102318,cocker_spaniel
n02102318,English_cocker_spaniel
n02102318,cocker
n02093991,Irish_terrier
n02102806,American_water_spaniel
n02112350,keeshond
n02099997,pointer
n02099997,Spanish_pointer
n02090129,harrier
n02092002,Scottish_deerhound
n02092002,deerhound
n02084071,dog
n02084071,domestic_dog
n02084071,Canis_familiaris
n02102480,Sussex_spaniel
n02098806,bird_dog
n02088745,boarhound
n02101108,spaniel
n02084861,cur
n02084861,mongrel
n02084861,mutt
n02109047,Great_Dane
n02086346,toy_spaniel
n02113186,Cardigan
n02113186,Cardigan_Welsh_corgi
n02094114,Norfolk_terrier
n02106382,Bouvier_des_Flandres
n02106382,Bouviers_des_Flandres
n02084732,pooch
n02084732,doggie
n02084732,doggy
n02084732,barker
n02084732,bow-wow
