n01734637,common_kingsnake
n01734637,Lampropeltis_getulus
n01747885,cobra
n01734418,king_snake
n01734418,kingsnake
n01754876,rattlesnake
n01754876,rattler
n01752585,adder
n01752585,common_viper
n01752585,Vipera_berus
n01752165,viper
n01748686,black-necked_cobra
n01748686,spitting_cobra
n01748686,Naja_nigricollis
n01755740,timber_rattlesnake
n01755740,banded_rattlesnake
n01755740,Crotalus_horridus_horridus
n01749939,green_mamba
n01728920,ringneck_snake
n01728920,ring-necked_snake
n01728920,ring_snake
n01756508,Western_diamondback
n01756508,Western_diamondback_rattlesnake
n01756508,Crotalus_atrox
n01743086,anaconda
n01743086,Eunectes_murinus
n01756916,tiger_rattlesnake
n01756916,Crotalus_tigris
n01726692,snake
n01726692,serpent
n01726692,ophidian
n01756291,sidewinder
n01756291,horned_rattlesnake
n01756291,Crotalus_cerastes
n01738731,banded_sand_snake
n01738731,Chilomeniscus_cinctus
n01734808,milk_snake
n01734808,house_snake
n01734808,milk_adder
n01734808,checkered_adder
n01734808,Lampropeltis_triangulum
n01750167,death_adder
n01750167,Acanthophis_antarcticus
n01731941,California_whipsnake
n01731941,striped_racer
n01731941,Masticophis_lateralis
n01738306,red-bellied_snake
n01738306,Storeria_occipitamaculata
n01748906,hamadryad
n01748906,king_cobra
n01748906,Ophiophagus_hannah
n01748906,Naja_hannah
n01730960,blacksnake
n01730960,black_racer
n01730960,Coluber_constrictor
n01731545,whip-snake
n01731545,whip_snake
n01731545,whipsnake
n01750437,tiger_snake
n01750437,Notechis_scutatus
n01742172,boa_constrictor
n01742172,Constrictor_constrictor
n01754533,water_moccasin
n01754533,cottonmouth
n01754533,cottonmouth_moccasin
n01754533,Agkistrodon_piscivorus
n01748264,Indian_cobra
n01748264,Naja_naja
n01741442,eastern_indigo_snake
n01741442,Drymarchon_corais_couperi
n01732093,Sonoran_whipsnake
n01732093,Masticophis_bilineatus
n01744100,reticulated_python
n01744100,Python_reticulatus
n01740131,night_snake
n01740131,Hypsiglena_torquata
n01733957,gopher_snake
n01733957,Pituophis_melanoleucus
n01732614,corn_snake
n01732614,red_rat_snake
n01732614,Elaphe_guttata
n01736032,lined_snake
n01736032,Tropidoclonion_lineatum
n01731764,coachwhip
n01731764,coachwhip_snake
n01731764,Masticophis_flagellum
n01733214,Indian_rat_snake
n01733214,Ptyas_mucosus
