n07739923,Baldwin
n07740220,Delicious
n07741461,Pippin
n07739506,eating_apple
n07739506,dessert_apple
n07741888,Stayman_Winesap
n07742513,Newtown_Wonder
n07741138,Macoun
n07741357,Pearmain
n07740461,Red_Delicious
n07742415,Lane's_Prince_Albert
n07742605,Rome_Beauty
n07742012,cooking_apple
n07740597,Empire
n07742313,Granny_Smith
n07741235,Northern_Spy
n07740744,Grimes'_golden
n07740033,Cortland
n07741706,Stayman
n07739125,apple
n07740115,Cox's_Orange_Pippin
n07741804,Winesap
n07740342,Golden_Delicious
n07740342,Yellow_Delicious
n07742224,Bramley's_Seedling
n07740855,Jonathan
n07741623,Prima
n07740954,McIntosh
n07739344,crab_apple
n07739344,crabapple
