n01563449,gnatcatcher
n02029706,upland_sandpiper
n02029706,upland_plover
n02029706,Bartramian_sandpiper
n02029706,Bartramia_longicauda
n01527917,skylark
n01527917,Alauda_arvensis
n01805321,monal
n01805321,monaul
n01812337,dove
n01581434,Rocky_Mountain_jay
n01581434,Perisoreus_canadensis_capitalis
n01826844,ground_roller
n01614038,harpy
n01614038,harpy_eagle
n01614038,Harpia_harpyja
n01555809,Old_World_flycatcher
n01555809,true_flycatcher
n01555809,flycatcher
n01624212,Oriental_scops_owl
n01624212,Otus_sunia
n01795735,European_black_grouse
n01795735,heathfowl
n01795735,Lyrurus_tetrix
n02020345,ortygan
n01616318,vulture
n02058594,wandering_albatross
n02058594,Diomedea_exulans
n01519873,emu
n01519873,Dromaius_novaehollandiae
n01519873,Emu_novaehollandiae
n01535140,vesper_sparrow
n01535140,grass_finch
n01535140,Pooecetes_gramineus
n01533651,serin
n01588002,brown_thrasher
n01588002,brown_thrush
n01588002,Toxostoma_rufums
n01579260,raven
n01579260,Corvus_corax
n01857851,barnacle_goose
n01857851,barnacle
n01857851,Branta_leucopsis
n02009750,great_white_heron
n02009750,Casmerodius_albus
n01825278,touraco
n01825278,turaco
n01825278,turacou
n01825278,turakoo
n01531811,redpoll
n01531811,Carduelis_flammea
n01527617,lark
n01581730,nutcracker
n02000954,wading_bird
n02000954,wader
n02025389,black_turnstone
n02025389,Arenaria-Melanocephala
n01531178,goldfinch
n01531178,Carduelis_carduelis
n02033324,red-breasted_snipe
n02033324,Limnodromus_scolopaceus
n01569423,myrtle_warbler
n01569423,myrtle_bird
n01569423,Dendroica_coronata
n01799302,guan
n01591123,red-breasted_nuthatch
n01591123,Sitta_canadensis
n01821869,budgerigar
n01821869,budgereegah
n01821869,budgerygah
n01821869,budgie
n01821869,grass_parakeet
n01821869,lovebird
n01821869,shell_parakeet
n01821869,Melopsittacus_undulatus
n01847170,duckling
n01597336,tanager
n01803893,argus
n01803893,argus_pheasant
n01602080,European_water_ouzel
n01602080,Cinclus_aquaticus
n01835918,chuck-will's-widow
n01835918,Caprimulgus_carolinensis
n01847806,mallard
n01847806,Anas_platyrhynchos
n01851207,redhead
n01851207,Aythya_americana
n02039497,cream-colored_courser
n02039497,Cursorius_cursor
n02018795,bustard
n02040505,coastal_diving_bird
n01546039,scrubbird
n01546039,scrub-bird
n01546039,scrub_bird
n01552034,bellbird
n01827403,kingfisher
n01503976,dickeybird
n01503976,dickey-bird
n01503976,dickybird
n01503976,dicky-bird
n02005399,shoebill
n02005399,shoebird
n02005399,Balaeniceps_rex
n02021050,trumpeter
n02017475,American_gallinule
n02017475,Porphyrula_martinica
n01806847,California_quail
n01806847,Lofortyx_californicus
n01824035,roadrunner
n01824035,chaparral_cock
n01824035,Geococcyx_californianus
n01832813,chimney_swift
n01832813,chimney_swallow
n01832813,Chateura_pelagica
n02030035,ruff
n02030035,Philomachus_pugnax
n01593553,verdin
n01593553,Auriparus_flaviceps
n01840120,red-shafted_flicker
n01840120,Colaptes_caper_collaris
n01580379,Old_World_jay
n02033882,Eskimo_curlew
n02033882,Numenius_borealis
n01620735,king_vulture
n01620735,Sarcorhamphus_papa
n02003577,openbill
