n01980166,fiddler_crab
n01979269,English_lady_crab
n01979269,Portunus_puber
n01978136,soft-shell_crab
n01978136,soft-shelled_crab
n01982068,European_spider_crab
n01982068,king_crab
n01982068,Maja_squinado
n01977485,stone_crab
n01977485,Menippe_mercenaria
n01980655,pea_crab
n01978930,swimming_crab
n01979526,American_lady_crab
n01979526,lady_crab
n01979526,calico_crab
n01979526,Ovalipes_ocellatus
n01981702,spider_crab
n01978287,Dungeness_crab
n01978287,Cancer_magister
n01980830,oyster_crab
n01980830,Pinnotheres_ostreum
n01981276,king_crab
n01981276,Alaska_crab
n01981276,Alaskan_king_crab
n01981276,Alaska_king_crab
n01981276,Paralithodes_camtschatica
n01978010,hard-shell_crab
n01976957,crab
n01978455,rock_crab
n01978455,Cancer_irroratus
n01982347,giant_crab
n01982347,Macrocheira_kaempferi
n01979874,blue_crab
n01979874,Callinectes_sapidus
n01978587,Jonah_crab
n01978587,Cancer_borealis
