n03732543,Maxim_gun
n04502989,twenty-two_pistol
n04177041,set_gun
n04177041,spring_gun
n04574606,whaling_gun
n03607659,Kalashnikov
n03772417,minute_gun
n04450133,Tommy_gun
n04450133,Thompson_submachine_gun
n03408264,fusil
n02896856,breechloader
n03875955,paintball_gun
n03729482,matchlock
n03429137,Gatling_gun
n02907656,Browning_machine_gun
n02907656,Peacemaker
n03467984,gun
n02760429,automatic_firearm
n02760429,automatic_gun
n02760429,automatic_weapon
n02950826,cannon
n04530456,Very_pistol
n04530456,Verey_pistol
n04503073,twenty-two_rifle
n03073296,Colt
n04171459,semiautomatic_firearm
n02760855,automatic_rifle
n02760855,automatic
n02760855,machine_rifle
n03539293,horse_pistol
n03539293,horse-pistol
n04585980,Winchester
n02961451,carbine
n03363749,flintlock
n03363749,firelock
n02814116,BB_gun
n03147084,culverin
n03343853,firearm
n03343853,piece
n03343853,small-arm
n04347519,submachine_gun
n04140539,sawed-off_shotgun
n03802007,musket
n02749479,assault_rifle
n02749479,assault_gun
n02715712,antiaircraft
n02715712,antiaircraft_gun
n02715712,flak
n02715712,flack
n02715712,pom-pom
n02715712,ack-ack
n02715712,ack-ack_gun
n04093775,riot_gun
n04615149,zip_gun
n02897097,Bren
n02897097,Bren_gun
n02742070,arquebus
n02742070,harquebus
n02742070,hackbut
n02742070,hagbut
n03178674,derringer
n04250224,sniper_rifle
n04250224,precision_rifle
n03948459,pistol
n03948459,handgun
n03948459,side_arm
n03948459,shooting_iron
n03423306,gas_gun
n04090263,rifle
n02923682,burp_gun
n02923682,machine_pistol
n03732020,Mauser
n02863536,Bofors_gun
n04314522,Sten_gun
n04031370,Quaker_gun
n04086273,revolver
n04086273,six-gun
n04086273,six-shooter
n03667552,light_machine_gun
n04076284,repeating_firearm
n04076284,repeater
n02856237,blunderbuss
n04138869,Saturday_night_special
n04267091,Spandau
n03386343,forty-five
n04171629,semiautomatic_pistol
n04171629,semiautomatic
n04502851,twenty-two
n04502851,.22
n02950482,cannon
n03427202,gat
n03427202,rod
n03803116,muzzle_loader
n02759963,autoloader
n02759963,self-loader
n03231819,Dragunov
n04206356,shotgun
n04206356,scattergun
n03701391,machine_gun
n03416775,Garand_rifle
n03416775,Garand
n03416775,M-1
n03416775,M-1_rifle
n02760658,automatic_pistol
n02760658,automatic
n04517211,Uzi
n03902381,peacekeeper
n03389983,fowling_piece
n03695857,Luger
n04247544,smoothbore
n02907391,Browning_automatic_rifle
n02907391,BAR
n02689274,air_gun
n02689274,airgun
n02689274,air_rifle
