n03373611,flying_boat
n03321419,fanjet
n03321419,fan-jet
n03321419,turbofan
n03321419,turbojet
n04389999,tanker_plane
n03335030,fighter
n03335030,fighter_aircraft
n03335030,attack_aircraft
n03577672,interceptor
n02704645,amphibian
n02704645,amphibious_aircraft
n03783873,monoplane
n04012084,propeller_plane
n03490784,hangar_queen
n03596543,jetliner
n04503499,twinjet
n03215191,dive_bomber
n03595860,jet
n03595860,jet_plane
n03595860,jet-propelled_plane
n04308397,stealth_fighter
n02691156,airplane
n02691156,aeroplane
n02691156,plane
n04012482,propjet
n04012482,turboprop
n04012482,turbo-propeller_plane
n04160586,seaplane
n04160586,hydroplane
n03174079,delta_wing
n03809312,narrowbody_aircraft
n03809312,narrow-body_aircraft
n03809312,narrow-body
n03798610,multiengine_airplane
n03798610,multiengine_plane
n04230487,ski-plane
n04062644,reconnaissance_plane
n02686121,airbus
n03604311,jumbojet
n03604311,jumbo_jet
n02867715,bomber
n04308273,stealth_bomber
n04583620,widebody_aircraft
n04583620,wide-body_aircraft
n04583620,wide-body
n04583620,twin-aisle_airplane
n03227505,double-prop
n03227505,double-propeller_plane
n03227505,twin-prop
n03227505,twin-propeller-plane
n03365231,floatplane
n03365231,pontoon_plane
n02690373,airliner
n04222723,single_prop
n04222723,single-propeller_plane
n02842573,biplane
n03608074,kamikaze
