,className,category
0,tench,2
1,goldfish,2
2,great_white_shark,2
3,tiger_shark,2
4,hammerhead,2
5,electric_ray,2
6,stingray,2
7,cock,2
8,hen,2
9,ostrich,2
10,brambling,2
11,goldfinch,2
12,house_finch,2
13,junco,2
14,indigo_bunting,2
15,robin,2
16,bulbul,2
17,jay,2
18,magpie,2
19,chickadee,2
20,water_ouzel,2
21,kite,2
22,bald_eagle,2
23,vulture,2
24,great_grey_owl,2
25,European_fire_salamander,2
26,common_newt,2
27,eft,2
28,spotted_salamander,2
29,axolotl,2
30,bullfrog,2
31,tree_frog,2
32,tailed_frog,2
33,loggerhead,2
34,leatherback_turtle,2
35,mud_turtle,2
36,terrapin,2
37,box_turtle,2
38,banded_gecko,2
39,common_iguana,2
40,American_chameleon,2
41,whiptail,2
42,agama,2
43,frilled_lizard,2
44,alligator_lizard,2
45,Gila_monster,2
46,green_lizard,2
47,African_chameleon,2
48,Komodo_dragon,2
49,African_crocodile,2
50,American_alligator,2
51,triceratops,2
52,thunder_snake,2
53,ringneck_snake,2
54,hognose_snake,2
55,green_snake,2
56,king_snake,2
57,garter_snake,2
58,water_snake,2
59,vine_snake,2
60,night_snake,2
61,boa_constrictor,2
62,rock_python,2
63,Indian_cobra,2
64,green_mamba,2
65,sea_snake,2
66,horned_viper,2
67,diamondback,2
68,sidewinder,2
69,trilobite,2
70,harvestman,2
71,scorpion,2
72,black_and_gold_garden_spider,2
73,barn_spider,2
74,garden_spider,2
75,black_widow,2
76,tarantula,2
77,wolf_spider,2
78,tick,2
79,centipede,2
80,black_grouse,2
81,ptarmigan,2
82,ruffed_grouse,2
83,prairie_chicken,2
84,peacock,2
85,quail,2
86,partridge,2
87,African_grey,2
88,macaw,2
89,sulphur-crested_cockatoo,2
90,lorikeet,2
91,coucal,2
92,bee_eater,2
93,hornbill,2
94,hummingbird,2
95,jacamar,2
96,toucan,2
97,drake,2
98,red-breasted_merganser,2
99,goose,2
100,black_swan,2
101,tusker,1
102,echidna,1
103,platypus,1
104,wallaby,1
105,koala,1
106,wombat,1
107,jellyfish,2
108,sea_anemone,2
109,brain_coral,2
110,flatworm,2
111,nematode,2
112,conch,2
113,snail,2
114,slug,2
115,sea_slug,2
116,chiton,2
117,chambered_nautilus,2
118,Dungeness_crab,2
119,rock_crab,2
120,fiddler_crab,2
121,king_crab,2
122,American_lobster,2
123,spiny_lobster,2
124,crayfish,2
125,hermit_crab,2
126,isopod,2
127,white_stork,2
128,black_stork,2
129,spoonbill,2
130,flamingo,2
131,little_blue_heron,2
132,American_egret,2
133,bittern,2
134,crane,2
135,limpkin,2
136,European_gallinule,2
137,American_coot,2
138,bustard,2
139,ruddy_turnstone,2
140,red-backed_sandpiper,2
141,redshank,2
142,dowitcher,2
143,oystercatcher,2
144,pelican,2
145,king_penguin,2
146,albatross,2
147,grey_whale,1
148,killer_whale,1
149,dugong,1
150,sea_lion,1
151,Chihuahua,1
152,Japanese_spaniel,1
153,Maltese_dog,1
154,Pekinese,1
155,Shih-Tzu,1
156,Blenheim_spaniel,1
157,papillon,1
158,toy_terrier,1
159,Rhodesian_ridgeback,1
160,Afghan_hound,1
161,basset,1
162,beagle,1
163,bloodhound,1
164,bluetick,1
165,black-and-tan_coonhound,1
166,Walker_hound,1
167,English_foxhound,1
168,redbone,1
169,borzoi,1
170,Irish_wolfhound,1
171,Italian_greyhound,1
172,whippet,1
173,Ibizan_hound,1
174,Norwegian_elkhound,1
175,otterhound,1
176,Saluki,1
177,Scottish_deerhound,1
178,Weimaraner,1
179,Staffordshire_bullterrier,1
180,American_Staffordshire_terrier,1
181,Bedlington_terrier,1
182,Border_terrier,1
183,Kerry_blue_terrier,1
184,Irish_terrier,1
185,Norfolk_terrier,1
186,Norwich_terrier,1
187,Yorkshire_terrier,1
188,wire-haired_fox_terrier,1
189,Lakeland_terrier,1
190,Sealyham_terrier,1
191,Airedale,1
192,cairn,1
193,Australian_terrier,1
194,Dandie_Dinmont,1
195,Boston_bull,1
196,miniature_schnauzer,1
197,giant_schnauzer,1
198,standard_schnauzer,1
199,Scotch_terrier,1
200,Tibetan_terrier,1
201,silky_terrier,1
202,soft-coated_wheaten_terrier,1
203,West_Highland_white_terrier,1
204,Lhasa,1
205,flat-coated_retriever,1
206,curly-coated_retriever,1
207,golden_retriever,1
208,Labrador_retriever,1
209,Chesapeake_Bay_retriever,1
210,German_short-haired_pointer,1
211,vizsla,1
212,English_setter,1
213,Irish_setter,1
214,Gordon_setter,1
215,Brittany_spaniel,1
216,clumber,1
217,English_springer,1
218,Welsh_springer_spaniel,1
219,cocker_spaniel,1
220,Sussex_spaniel,1
221,Irish_water_spaniel,1
222,kuvasz,1
223,schipperke,1
224,groenendael,1
225,malinois,1
226,briard,1
227,kelpie,1
228,komondor,1
229,Old_English_sheepdog,1
230,Shetland_sheepdog,1
231,collie,1
232,Border_collie,1
233,Bouvier_des_Flandres,1
234,Rottweiler,1
235,German_shepherd,1
236,Doberman,1
237,miniature_pinscher,1
238,Greater_Swiss_Mountain_dog,1
239,Bernese_mountain_dog,1
240,Appenzeller,1
241,EntleBucher,1
242,boxer,1
243,bull_mastiff,1
244,Tibetan_mastiff,1
245,French_bulldog,1
246,Great_Dane,1
247,Saint_Bernard,1
248,Eskimo_dog,1
249,malamute,1
250,Siberian_husky,1
251,dalmatian,1
252,affenpinscher,1
253,basenji,1
254,pug,1
255,Leonberg,1
256,Newfoundland,1
257,Great_Pyrenees,1
258,Samoyed,1
259,Pomeranian,1
260,chow,1
261,keeshond,1
262,Brabancon_griffon,1
263,Pembroke,1
264,Cardigan,1
265,toy_poodle,1
266,miniature_poodle,1
267,standard_poodle,1
268,Mexican_hairless,1
269,timber_wolf,1
270,white_wolf,1
271,red_wolf,1
272,coyote,1
273,dingo,1
274,dhole,1
275,African_hunting_dog,1
276,hyena,1
277,red_fox,1
278,kit_fox,1
279,Arctic_fox,1
280,grey_fox,1
281,tabby,1
282,tiger_cat,1
283,Persian_cat,1
284,Siamese_cat,1
285,Egyptian_cat,1
286,cougar,1
287,lynx,1
288,leopard,1
289,snow_leopard,1
290,jaguar,1
291,lion,1
292,tiger,1
293,cheetah,1
294,brown_bear,1
295,American_black_bear,1
296,ice_bear,1
297,sloth_bear,1
298,mongoose,1
299,meerkat,1
300,tiger_beetle,2
301,ladybug,2
302,ground_beetle,2
303,long-horned_beetle,2
304,leaf_beetle,2
305,dung_beetle,2
306,rhinoceros_beetle,2
307,weevil,2
308,fly,2
309,bee,2
310,ant,2
311,grasshopper,2
312,cricket,2
313,walking_stick,2
314,cockroach,2
315,mantis,2
316,cicada,2
317,leafhopper,2
318,lacewing,2
319,dragonfly,2
320,damselfly,2
321,admiral,2
322,ringlet,2
323,monarch,2
324,cabbage_butterfly,2
325,sulphur_butterfly,2
326,lycaenid,2
327,starfish,2
328,sea_urchin,2
329,sea_cucumber,2
330,wood_rabbit,1
331,hare,1
332,Angora,1
333,hamster,1
334,porcupine,1
335,fox_squirrel,1
336,marmot,1
337,beaver,1
338,guinea_pig,1
339,sorrel,1
340,zebra,1
341,hog,1
342,wild_boar,1
343,warthog,1
344,hippopotamus,1
345,ox,1
346,water_buffalo,1
347,bison,1
348,ram,1
349,bighorn,1
350,ibex,1
351,hartebeest,1
352,impala,1
353,gazelle,1
354,Arabian_camel,1
355,llama,1
356,weasel,1
357,mink,1
358,polecat,1
359,black-footed_ferret,1
360,otter,1
361,skunk,1
362,badger,1
363,armadillo,1
364,three-toed_sloth,1
365,orangutan,1
366,gorilla,1
367,chimpanzee,1
368,gibbon,1
369,siamang,1
370,guenon,1
371,patas,1
372,baboon,1
373,macaque,1
374,langur,1
375,colobus,1
376,proboscis_monkey,1
377,marmoset,1
378,capuchin,1
379,howler_monkey,1
380,titi,1
381,spider_monkey,1
382,squirrel_monkey,1
383,Madagascar_cat,1
384,indri,1
385,Indian_elephant,1
386,African_elephant,1
387,lesser_panda,1
388,giant_panda,1
389,barracouta,2
390,eel,2
391,coho,2
392,rock_beauty,2
393,anemone_fish,2
394,sturgeon,2
395,gar,2
396,lionfish,2
397,puffer,2
398,abacus,3
399,abaya,3
400,academic_gown,3
401,accordion,3
402,acoustic_guitar,3
403,aircraft_carrier,3
404,airliner,3
405,airship,3
406,altar,3
407,ambulance,3
408,amphibian,3
409,analog_clock,3
410,apiary,3
411,apron,3
412,ashcan,3
413,assault_rifle,3
414,backpack,3
415,bakery,3
416,balance_beam,3
417,balloon,3
418,ballpoint,3
419,Band_Aid,3
420,banjo,3
421,bannister,3
422,barbell,3
423,barber_chair,3
424,barbershop,3
425,barn,3
426,barometer,3
427,barrel,3
428,barrow,3
429,baseball,3
430,basketball,3
431,bassinet,3
432,bassoon,3
433,bathing_cap,3
434,bath_towel,3
435,bathtub,3
436,beach_wagon,3
437,beacon,3
438,beaker,3
439,bearskin,3
440,beer_bottle,3
441,beer_glass,3
442,bell_cote,3
443,bib,3
444,bicycle-built-for-two,3
445,bikini,3
446,binder,3
447,binoculars,3
448,birdhouse,3
449,boathouse,3
450,bobsled,3
451,bolo_tie,3
452,bonnet,3
453,bookcase,3
454,bookshop,3
455,bottlecap,3
456,bow,3
457,bow_tie,3
458,brass,3
459,brassiere,3
460,breakwater,3
461,breastplate,3
462,broom,3
463,bucket,3
464,buckle,3
465,bulletproof_vest,3
466,bullet_train,3
467,butcher_shop,3
468,cab,3
469,caldron,3
470,candle,3
471,cannon,3
472,canoe,3
473,can_opener,3
474,cardigan,3
475,car_mirror,3
476,carousel,3
477,carpenter's_kit,3
478,carton,3
479,car_wheel,3
480,cash_machine,3
481,cassette,3
482,cassette_player,3
483,castle,3
484,catamaran,3
485,CD_player,3
486,cello,3
487,cellular_telephone,3
488,chain,3
489,chainlink_fence,3
490,chain_mail,3
491,chain_saw,3
492,chest,3
493,chiffonier,3
494,chime,3
495,china_cabinet,3
496,Christmas_stocking,3
497,church,3
498,cinema,3
499,cleaver,3
500,cliff_dwelling,3
501,cloak,3
502,clog,3
503,cocktail_shaker,3
504,coffee_mug,3
505,coffeepot,3
506,coil,3
507,combination_lock,3
508,computer_keyboard,3
509,confectionery,3
510,container_ship,3
511,convertible,3
512,corkscrew,3
513,cornet,3
514,cowboy_boot,3
515,cowboy_hat,3
516,cradle,3
517,crane,3
518,crash_helmet,3
519,crate,3
520,crib,3
521,Crock_Pot,3
522,croquet_ball,3
523,crutch,3
524,cuirass,3
525,dam,3
526,desk,3
527,desktop_computer,3
528,dial_telephone,3
529,diaper,3
530,digital_clock,3
531,digital_watch,3
532,dining_table,3
533,dishrag,3
534,dishwasher,3
535,disk_brake,3
536,dock,3
537,dogsled,3
538,dome,3
539,doormat,3
540,drilling_platform,3
541,drum,3
542,drumstick,3
543,dumbbell,3
544,Dutch_oven,3
545,electric_fan,3
546,electric_guitar,3
547,electric_locomotive,3
548,entertainment_center,3
549,envelope,3
550,espresso_maker,3
551,face_powder,3
552,feather_boa,3
553,file,3
554,fireboat,3
555,fire_engine,3
556,fire_screen,3
557,flagpole,3
558,flute,3
559,folding_chair,3
560,football_helmet,3
561,forklift,3
562,fountain,3
563,fountain_pen,3
564,four-poster,3
565,freight_car,3
566,French_horn,3
567,frying_pan,3
568,fur_coat,3
569,garbage_truck,3
570,gasmask,3
571,gas_pump,3
572,goblet,3
573,go-kart,3
574,golf_ball,3
575,golfcart,3
576,gondola,3
577,gong,3
578,gown,3
579,grand_piano,3
580,greenhouse,3
581,grille,3
582,grocery_store,3
583,guillotine,3
584,hair_slide,3
585,hair_spray,3
586,half_track,3
587,hammer,3
588,hamper,3
589,hand_blower,3
590,hand-held_computer,3
591,handkerchief,3
592,hard_disc,3
593,harmonica,3
594,harp,3
595,harvester,3
596,hatchet,3
597,holster,3
598,home_theater,3
599,honeycomb,3
600,hook,3
601,hoopskirt,3
602,horizontal_bar,3
603,horse_cart,3
604,hourglass,3
605,iPod,3
606,iron,3
607,jack-o'-lantern,3
608,jean,3
609,jeep,3
610,jersey,3
611,jigsaw_puzzle,3
612,jinrikisha,3
613,joystick,3
614,kimono,3
615,knee_pad,3
616,knot,3
617,lab_coat,3
618,ladle,3
619,lampshade,3
620,laptop,3
621,lawn_mower,3
622,lens_cap,3
623,letter_opener,3
624,library,3
625,lifeboat,3
626,lighter,3
627,limousine,3
628,liner,3
629,lipstick,3
630,Loafer,3
631,lotion,3
632,loudspeaker,3
633,loupe,3
634,lumbermill,3
635,magnetic_compass,3
636,mailbag,3
637,mailbox,3
638,maillot,3
639,maillot,3
640,manhole_cover,3
641,maraca,3
642,marimba,3
643,mask,3
644,matchstick,3
645,maypole,3
646,maze,3
647,measuring_cup,3
648,medicine_chest,3
649,megalith,3
650,microphone,3
651,microwave,3
652,military_uniform,3
653,milk_can,3
654,minibus,3
655,miniskirt,3
656,minivan,3
657,missile,3
658,mitten,3
659,mixing_bowl,3
660,mobile_home,3
661,Model_T,3
662,modem,3
663,monastery,3
664,monitor,3
665,moped,3
666,mortar,3
667,mortarboard,3
668,mosque,3
669,mosquito_net,3
670,motor_scooter,3
671,mountain_bike,3
672,mountain_tent,3
673,mouse,3
674,mousetrap,3
675,moving_van,3
676,muzzle,3
677,nail,3
678,neck_brace,3
679,necklace,3
680,nipple,3
681,notebook,3
682,obelisk,3
683,oboe,3
684,ocarina,3
685,odometer,3
686,oil_filter,3
687,organ,3
688,oscilloscope,3
689,overskirt,3
690,oxcart,3
691,oxygen_mask,3
692,packet,3
693,paddle,3
694,paddlewheel,3
695,padlock,3
696,paintbrush,3
697,pajama,3
698,palace,3
699,panpipe,3
700,paper_towel,3
701,parachute,3
702,parallel_bars,3
703,park_bench,3
704,parking_meter,3
705,passenger_car,3
706,patio,3
707,pay-phone,3
708,pedestal,3
709,pencil_box,3
710,pencil_sharpener,3
711,perfume,3
712,Petri_dish,3
713,photocopier,3
714,pick,3
715,pickelhaube,3
716,picket_fence,3
717,pickup,3
718,pier,3
719,piggy_bank,3
720,pill_bottle,3
721,pillow,3
722,ping-pong_ball,3
723,pinwheel,3
724,pirate,3
725,pitcher,3
726,plane,3
727,planetarium,3
728,plastic_bag,3
729,plate_rack,3
730,plow,3
731,plunger,3
732,Polaroid_camera,3
733,pole,3
734,police_van,3
735,poncho,3
736,pool_table,3
737,pop_bottle,3
738,pot,3
739,potter's_wheel,3
740,power_drill,3
741,prayer_rug,3
742,printer,3
743,prison,3
744,projectile,3
745,projector,3
746,puck,3
747,punching_bag,3
748,purse,3
749,quill,3
750,quilt,3
751,racer,3
752,racket,3
753,radiator,3
754,radio,3
755,radio_telescope,3
756,rain_barrel,3
757,recreational_vehicle,3
758,reel,3
759,reflex_camera,3
760,refrigerator,3
761,remote_control,3
762,restaurant,3
763,revolver,3
764,rifle,3
765,rocking_chair,3
766,rotisserie,3
767,rubber_eraser,3
768,rugby_ball,3
769,rule,3
770,running_shoe,3
771,safe,3
772,safety_pin,3
773,saltshaker,3
774,sandal,3
775,sarong,3
776,sax,3
777,scabbard,3
778,scale,3
779,school_bus,3
780,schooner,3
781,scoreboard,3
782,screen,3
783,screw,3
784,screwdriver,3
785,seat_belt,3
786,sewing_machine,3
787,shield,3
788,shoe_shop,3
789,shoji,3
790,shopping_basket,3
791,shopping_cart,3
792,shovel,3
793,shower_cap,3
794,shower_curtain,3
795,ski,3
796,ski_mask,3
797,sleeping_bag,3
