,"file_name","image_type","predicted_index","possible_label"
0,"bear_ILSVRC2012_val_00011967_s.jpg","gorilla",366,"gorilla"
1,"broccoli_ILSVRC2012_val_00004207_s.jpg","megalith",649,"megalith"
2,"clock_ILSVRC2012_val_00028769_s.jpg","couch",831,"couch"
3,"lemon_ILSVRC2012_val_00048264_s.jpg","loggerhead sea turtle",33,"loggerhead sea turtle"
4,"mushroom_ILSVRC2012_val_00021713_s.jpg","mushroom",947,"mushroom"
5,"shoe_ILSVRC2012_val_00048970_s.jpg","sandal",774,"sandal"
6,"clock_ILSVRC2012_val_00041461_s.jpg","plate rack",729,"plate rack"
7,"gun_ILSVRC2012_val_00002840_s.jpg","revolver",763,"revolver"
8,"spider_ILSVRC2012_val_00029156_s.jpg","tick",78,"tick"
9,"tiger_ILSVRC2012_val_00005323_s.jpg","triceratops",51,"triceratops"
10,"flower_ILSVRC2012_val_00039137_s.jpg","daisy",985,"daisy"
11,"cat_ILSVRC2012_val_00000796_s.jpg","Siamese cat",284,"Siamese cat"
12,"broccoli_ILSVRC2012_val_00013519_s.jpg","sarong",775,"sarong"
13,"butterfly_ILSVRC2012_val_00042436_s.jpg","ringlet butterfly",322,"ringlet butterfly"
14,"lemon_ILSVRC2012_val_00038325_s.jpg","sock",806,"sock"
15,"elephant_ILSVRC2012_val_00035479_s.jpg","promontory",976,"promontory"
16,"cat_ILSVRC2012_val_00038913_s.jpg","triceratops",51,"triceratops"
17,"turtle_ILSVRC2012_val_00024666_s.jpg","mud turtle",35,"mud turtle"
18,"hammer_ILSVRC2012_val_00001110_s.jpg","megalith",649,"megalith"
19,"bird_ILSVRC2012_val_00007153_s.jpg","partridge",86,"partridge"
20,"clock_ILSVRC2012_val_00035392_s.jpg","stone wall",825,"stone wall"
21,"bird_ILSVRC2012_val_00028363_s.jpg","poke bonnet",452,"poke bonnet"
22,"acorn_ILSVRC2012_val_00012754_s.jpg","dugong",149,"dugong"
23,"acorn_ILSVRC2012_val_00031536_s.jpg","teddy bear",850,"teddy bear"
24,"dog_ILSVRC2012_val_00010378_s.jpg","Irish Water Spaniel",221,"Irish Water Spaniel"
25,"chair_ILSVRC2012_val_00012771_s.jpg","cradle",516,"cradle"
26,"hammer_ILSVRC2012_val_00028069_s.jpg","hatchet",596,"hatchet"
27,"crab_ILSVRC2012_val_00004462_s.jpg","scorpion",71,"scorpion"
28,"shoe_ILSVRC2012_val_00019717_s.jpg","slip-on shoe",630,"slip-on shoe"
29,"helmet_ILSVRC2012_val_00049691_s.jpg","cloak",501,"cloak"
30,"corn_ILSVRC2012_val_00030375_s.jpg","Windsor tie",906,"Windsor tie"
31,"gun_ILSVRC2012_val_00003457_s.jpg","revolver",763,"revolver"
32,"lobster_ILSVRC2012_val_00017039_s.jpg","scorpion",71,"scorpion"
33,"microwave_ILSVRC2012_val_00038763_s.jpg","promontory",976,"promontory"
34,"lobster_ILSVRC2012_val_00047059_s.jpg","American lobster",122,"American lobster"
35,"helmet_ILSVRC2012_val_00032342_s.jpg","football helmet",560,"football helmet"
36,"strawberry_ILSVRC2012_val_00037522_s.jpg","megalith",649,"megalith"
37,"crocodilian_ILSVRC2012_val_00038647_s.jpg","cloak",501,"cloak"
38,"snake_ILSVRC2012_val_00027631_s.jpg","night snake",60,"night snake"
39,"car_ILSVRC2012_val_00010455_s.jpg","sports car",817,"sports car"
40,"turtle_ILSVRC2012_val_00009376_s.jpg","Gila monster",45,"Gila monster"
41,"guitar_ILSVRC2012_val_00029538_s.jpg","megalith",649,"megalith"
42,"cabbage_ILSVRC2012_val_00005749_s.jpg","megalith",649,"megalith"
43,"swine_ILSVRC2012_val_00016806_s.jpg","prayer rug",741,"prayer rug"
44,"cabbage_ILSVRC2012_val_00007752_s.jpg","sturgeon",394,"sturgeon"
45,"dog_ILSVRC2012_val_00046583_s.jpg","Standard Poodle",267,"Standard Poodle"
46,"bird_ILSVRC2012_val_00030545_s.jpg","black grouse",80,"black grouse"
47,"lemon_ILSVRC2012_val_00045149_s.jpg","stone wall",825,"stone wall"
48,"banana_ILSVRC2012_val_00038819_s.jpg","carved pumpkin",607,"carved pumpkin"
49,"apple_ILSVRC2012_val_00000023_s.jpg","carved pumpkin",607,"carved pumpkin"
50,"pineapple_ILSVRC2012_val_00023804_s.jpg","pineapple",953,"pineapple"
51,"car_ILSVRC2012_val_00037492_s.jpg","minivan",656,"minivan"
52,"turtle_ILSVRC2012_val_00049782_s.jpg","stone wall",825,"stone wall"
53,"frog_ILSVRC2012_val_00014735_s.jpg","flatworm",110,"flatworm"
54,"camel_ILSVRC2012_val_00015872_s.jpg","triceratops",51,"triceratops"
55,"crab_ILSVRC2012_val_00034670_s.jpg","Dungeness crab",118,"Dungeness crab"
56,"camel_ILSVRC2012_val_00003409_s.jpg","triceratops",51,"triceratops"
57,"snake_ILSVRC2012_val_00013400_s.jpg","flatworm",110,"flatworm"
58,"horse_ILSVRC2012_val_00032126_s.jpg","common sorrel horse",339,"common sorrel horse"
59,"gun_ILSVRC2012_val_00016796_s.jpg","revolver",763,"revolver"
60,"corn_ILSVRC2012_val_00010495_s.jpg","promontory",976,"promontory"
61,"bee_ILSVRC2012_val_00017418_s.jpg","promontory",976,"promontory"
62,"snake_ILSVRC2012_val_00024301_s.jpg","Briard",226,"Briard"
63,"mug_ILSVRC2012_val_00025893_s.jpg","drink pitcher",725,"drink pitcher"
64,"crab_ILSVRC2012_val_00003272_s.jpg","knot",616,"knot"
65,"spider_ILSVRC2012_val_00029756_s.jpg","tick",78,"tick"
66,"frog_ILSVRC2012_val_00041279_s.jpg","Gila monster",45,"Gila monster"
67,"bee_ILSVRC2012_val_00045227_s.jpg","rooster",7,"rooster"
68,"acorn_ILSVRC2012_val_00045517_s.jpg","megalith",649,"megalith"
69,"squirrel_ILSVRC2012_val_00048792_s.jpg","triceratops",51,"triceratops"
70,"acorn_ILSVRC2012_val_00013791_s.jpg","sock",806,"sock"
71,"helmet_ILSVRC2012_val_00016289_s.jpg","stone wall",825,"stone wall"
72,"helmet_ILSVRC2012_val_00047186_s.jpg","Gila monster",45,"Gila monster"
73,"flower_ILSVRC2012_val_00022139_s.jpg","earth star fungus",995,"earth star fungus"
74,"rabbit_ILSVRC2012_val_00027435_s.jpg","tiger cat",282,"tiger cat"
75,"mug_ILSVRC2012_val_00025548_s.jpg","cauldron",469,"cauldron"
76,"cabbage_ILSVRC2012_val_00027632_s.jpg","megalith",649,"megalith"
77,"bellpepper_ILSVRC2012_val_00000423_s.jpg","beach",978,"beach"
78,"crab_ILSVRC2012_val_00011922_s.jpg","rock crab",119,"rock crab"
79,"butterfly_ILSVRC2012_val_00015608_s.jpg","Papillon",157,"Papillon"
80,"swine_ILSVRC2012_val_00007278_s.jpg","triceratops",51,"triceratops"
81,"mushroom_ILSVRC2012_val_00038421_s.jpg","megalith",649,"megalith"
82,"fish_ILSVRC2012_val_00047320_s.jpg","hammerhead shark",4,"hammerhead shark"
83,"horse_ILSVRC2012_val_00029082_s.jpg","common sorrel horse",339,"common sorrel horse"
84,"airplane_ILSVRC2012_val_00033920_s.jpg","airliner",404,"airliner"
85,"squirrel_ILSVRC2012_val_00024584_s.jpg","cloak",501,"cloak"
86,"fish_ILSVRC2012_val_00032417_s.jpg","promontory",976,"promontory"
87,"swine_ILSVRC2012_val_00011892_s.jpg","triceratops",51,"triceratops"
88,"lobster_ILSVRC2012_val_00036759_s.jpg","megalith",649,"megalith"
89,"bear_ILSVRC2012_val_00020441_s.jpg","wool",911,"wool"
90,"spider_ILSVRC2012_val_00008805_s.jpg","tick",78,"tick"
91,"guitar_ILSVRC2012_val_00036762_s.jpg","drumstick",542,"drumstick"
92,"horse_ILSVRC2012_val_00011600_s.jpg","common sorrel horse",339,"common sorrel horse"
93,"airplane_ILSVRC2012_val_00023781_s.jpg","ocean liner",628,"ocean liner"
94,"corn_ILSVRC2012_val_00011594_s.jpg","megalith",649,"megalith"
95,"shoe_ILSVRC2012_val_00034558_s.jpg","sandal",774,"sandal"
96,"bee_ILSVRC2012_val_00014008_s.jpg","tick",78,"tick"
97,"lobster_ILSVRC2012_val_00028657_s.jpg","American lobster",122,"American lobster"
98,"strawberry_ILSVRC2012_val_00048023_s.jpg","sock",806,"sock"
99,"tiger_ILSVRC2012_val_00048186_s.jpg","lion",291,"lion"
100,"hippopotamus_ILSVRC2012_val_00003302_s.jpg","hippopotamus",344,"hippopotamus"
101,"cabbage_ILSVRC2012_val_00037102_s.jpg","thatched roof",853,"thatched roof"
102,"broccoli_ILSVRC2012_val_00043347_s.jpg","hen of the woods mushroom",996,"hen of the woods mushroom"
103,"apple_ILSVRC2012_val_00045087_s.jpg","carved pumpkin",607,"carved pumpkin"
104,"mushroom_ILSVRC2012_val_00040625_s.jpg","earth star fungus",995,"earth star fungus"
105,"car_ILSVRC2012_val_00037128_s.jpg","hatchet",596,"hatchet"
106,"butterfly_ILSVRC2012_val_00013795_s.jpg","cicada",316,"cicada"
107,"horse_ILSVRC2012_val_00017358_s.jpg","common sorrel horse",339,"common sorrel horse"
108,"bee_ILSVRC2012_val_00002566_s.jpg","leatherback sea turtle",34,"leatherback sea turtle"
109,"hippopotamus_ILSVRC2012_val_00006991_s.jpg","promontory",976,"promontory"
110,"squirrel_ILSVRC2012_val_00042981_s.jpg","triceratops",51,"triceratops"
111,"camel_ILSVRC2012_val_00011354_s.jpg","arabian camel",354,"arabian camel"
112,"gun_ILSVRC2012_val_00018910_s.jpg","revolver",763,"revolver"
113,"snail_ILSVRC2012_val_00023958_s.jpg","snail",113,"snail"
114,"bear_ILSVRC2012_val_00031906_s.jpg","sloth bear",297,"sloth bear"
115,"pineapple_ILSVRC2012_val_00024461_s.jpg","volcano",980,"volcano"
116,"snail_ILSVRC2012_val_00046248_s.jpg","snail",113,"snail"
117,"butterfly_ILSVRC2012_val_00025307_s.jpg","megalith",649,"megalith"
118,"turtle_ILSVRC2012_val_00036345_s.jpg","leatherback sea turtle",34,"leatherback sea turtle"
119,"camel_ILSVRC2012_val_00006200_s.jpg","megalith",649,"megalith"
120,"chair_ILSVRC2012_val_00041720_s.jpg","patio",706,"patio"
121,"dog_ILSVRC2012_val_00028881_s.jpg","Irish Water Spaniel",221,"Irish Water Spaniel"
122,"lemon_ILSVRC2012_val_00034286_s.jpg","stone wall",825,"stone wall"
123,"swine_ILSVRC2012_val_00031491_s.jpg","cloak",501,"cloak"
124,"mushroom_ILSVRC2012_val_00009394_s.jpg","volcano",980,"volcano"
125,"rabbit_ILSVRC2012_val_00006108_s.jpg","cottontail rabbit",330,"cottontail rabbit"
126,"airplane_ILSVRC2012_val_00011168_s.jpg","airliner",404,"airliner"
127,"airplane_ILSVRC2012_val_00030531_s.jpg","military aircraft",895,"military aircraft"
128,"bear_ILSVRC2012_val_00041813_s.jpg","koala",105,"koala"
129,"hippopotamus_ILSVRC2012_val_00032449_s.jpg","ox",345,"ox"
130,"bee_ILSVRC2012_val_00042015_s.jpg","bee",309,"bee"
131,"cat_ILSVRC2012_val_00013550_s.jpg","mitten",658,"mitten"
132,"dryer_ILSVRC2012_val_00046673_s.jpg","sock",806,"sock"
